category,title,primary_keyword,rationale
Limited Company Tax,Can My Limited Company Claim Tax Relief on a Company Car in 2025/26?,limited company car tax relief,Addresses the specific benefit-in-kind and capital allowance interplay for directors
Limited Company Tax,How Does the Associated Companies Rule Affect My Corporation Tax Rate in 2025/26?,associated companies corporation tax rate,"Practical planning for groups with multiple companies, mid difficulty"
Limited Company Tax,What Happens to My Corporation Tax if I Miss the Filing Deadline by One Day?,late corporation tax filing penalty,"Specific penalty scenario, low difficulty"
Limited Company Tax,Can I Pay a Director's Personal Tax Bill Through My Limited Company?,pay personal tax through limited company,"Common confusion point, compliance edge case"
Limited Company Tax,How to Handle a Corporation Tax Refund When Your Company Has Closed,corporation tax refund closed company,"Post-dissolution tax issue, niche but searchable"
Limited Company Tax,What Are the Tax Implications of a Director's Loan Written Off by the Company?,director loan write off tax implications,"S455 and benefit-in-kind trigger, mid difficulty"
Sole Trader and Self Employment,Can a Sole Trader Claim Tax Relief on a Home Office if They Also Have a Co-Working Space?,sole trader home office and co-working,"Dual-use expense scenario, low difficulty"
Sole Trader and Self Employment,How to Claim the Marriage Allowance as a Self Employed Person,marriage allowance self employed,"Underclaimed relief for sole traders, low difficulty"
Sole Trader and Self Employment,"What Happens if My Self Assessment Tax Bill is Over £100,000 and I Need to Make Payments on Account?",payments on account over 100k,"Specific threshold trigger, mid difficulty"
Sole Trader and Self Employment,Can I Use the Cash Basis if My Sole Trader Business Has a Loss?,cash basis sole trader loss,"Loss relief interaction with accounting method, mid difficulty"
Sole Trader and Self Employment,How to Calculate Class 4 National Insurance When You Have Multiple Self Employed Trades,class 4 ni multiple trades,"Aggregation rules for sole traders, low difficulty"
Sole Trader and Self Employment,What Records Must a Sole Trader Keep for HMRC Under MTD ITSA From April 2026?,mtd itsa record keeping sole trader,"Compliance requirement for digital records, mid difficulty"
Sole Trader and Self Employment,Can a Sole Trader Claim Tax Relief on a Course That Improves Their Business Skills?,sole trader training course tax relief,"Allowable vs capital expense distinction, low difficulty"
VAT and Making Tax Digital,How to Reconcile VAT on a Flat Rate Scheme Invoice When You Later Switch to Standard VAT,flat rate to standard vat reconciliation,"Transitional accounting issue, mid difficulty"
VAT and Making Tax Digital,"What Happens to My VAT Return if I Go Over the £90,000 Threshold Mid-Quarter?",vat threshold mid quarter,"Real-time registration trigger, mid difficulty"
VAT and Making Tax Digital,Can a Limited Company Claim Back VAT on a Director's Personal Phone Bill?,vat reclaim director personal phone,"Partial exemption and business use test, low difficulty"
VAT and Making Tax Digital,How to Handle VAT on Imported Goods Under £135 for a Small UK Ecommerce Business,vat on low value imports uk,"Post-Brexit rules for small importers, mid difficulty"
VAT and Making Tax Digital,Do I Need to Register for VAT if I Only Sell Services to EU Clients From the UK?,vat registration services to eu,"Cross-border supply rules, mid difficulty"
VAT and Making Tax Digital,What Are the Penalties for Late VAT Returns Under the New HMRC Points-Based System?,late vat return penalty points,"Updated penalty regime, low difficulty"
VAT and Making Tax Digital,How to Claim a VAT Refund on a Bad Debt When Your Customer Has Gone Into Liquidation,vat bad debt relief liquidation,"Specific insolvency scenario, mid difficulty"
Payroll and PAYE,How to Process a Final Salary Payment for a Director Who is Leaving the Company,final salary payment leaving director,"Payroll termination edge case, low difficulty"
Payroll and PAYE,What is the Correct RTI Submission for a Director Who Takes No Salary But Only Dividends?,rti submission zero salary director,"Compliance gap for nil-paid directors, low difficulty"
Payroll and PAYE,Can I Pay an Employee's Bonus Through a Separate Limited Company to Avoid NI?,pay bonus through separate company ni,"Avoidance warning scenario, mid difficulty"
Payroll and PAYE,How to Correct a PAYE Overpayment From a Previous Tax Year,correct paye overpayment hmrc,"Error correction process, low difficulty"
