subcategory,title,primary_keyword,rationale
UK Tax on Leaving,What counts as a 'day' in the UK under the Statutory Residence Test for agency founders,statutory residence test day counting,Agency founders often travel frequently; understanding what HMRC counts as a UK day is the single most common point of confusion and error when planning an exit date.
UK Tax on Leaving,How the split year treatment works if you move to Dubai mid-tax year,split year treatment moving abroad mid year,"Founders rarely move on 6 April; split year rules determine which part of the year you owe UK tax on, directly affecting their first year's liability."
UK Tax on Leaving,Do I need to file a UK tax return after leaving for Dubai if I have no UK income,UK tax return after leaving UK no income,"Many founders assume they are done with HMRC, but the exit itself can trigger filing obligations; this is a high-friction, low-awareness trap."
UK Tax on Leaving,What happens to my carried forward UK capital losses when I become non-resident,capital losses carried forward non resident,Agency founders often have historic losses from share options or previous ventures; these are not lost on departure but the rules are poorly understood.
UK Tax on Leaving,Can I still claim UK personal allowance after moving to Dubai,UK personal allowance non resident Dubai,"Founders with residual UK income (e.g. rental) need to know if they lose the £12,570 allowance; the answer depends on treaty residence, not just physical presence."
UK Tax on Leaving,How the temporary non-residence rule catches agency founders who return within five years,temporary non residence rule five years,A founder who moves to Dubai but returns to the UK within five years can have capital gains 'clawed back'; this is a critical planning point often missed.
UK Tax on Leaving,What is the 90-day rule for leaving the UK and does it apply to my agency shareholding,90 day rule leaving UK shareholding,"HMRC can still treat a founder as UK resident if they spend over 90 days back in the UK in a tax year, which impacts tax on any future share sale."
UK Tax on Leaving,Do I pay UK exit tax on my agency shares if I move to Dubai,exit tax on shares moving to Dubai,"If the founder holds unlisted agency shares, there is no automatic exit charge, but there are anti-avoidance rules around 'deemed disposal' that need checking."
Dubai Entity & Setup,Free zone vs mainland company for a UK agency founder: which structure lets me keep my existing client contracts,free zone vs mainland for agency founder,"The choice affects whether the founder can trade directly with UK clients without a local distributor, which is a practical daily concern."
Dubai Entity & Setup,What is the minimum office space requirement for a Dubai free zone company and can I use a flexi desk,free zone minimum office space requirement,Agency founders often want virtual or co-working setups; free zones have specific physical space rules that catch out those trying to cut costs.
Dubai Entity & Setup,How long does it take to set up a Dubai free zone company for a UK agency founder,Dubai free zone company setup time,Founders need a realistic timeline to plan their move; most guides give 2-4 weeks but visa and bank delays can push it to 8-12 weeks.
Dubai Entity & Setup,Can a UK sole trader agency founder transfer their existing business to a Dubai free zone company,transfer sole trader business to Dubai free zone,"This involves closing the UK sole trade, opening a UAE entity, and managing the tax year crossover; it is a specific migration path with little guidance."
Dubai Entity & Setup,What is the difference between a Dubai mainland LLC and a free zone FZE for a single founder agency,mainland LLC vs free zone FZE single founder,"Single founder agencies are common; the FZE is designed for one shareholder but has trading restrictions, while the mainland LLC allows broader activity but requires a local service agent."
Dubai Entity & Setup,Do I need a UAE local partner or sponsor for my agency if I set up in a Dubai free zone,local partner requirement Dubai free zone,"Free zones by definition do not require a local partner, but mainland does; this is a fundamental structural decision founders need to understand upfront."
Dubai Entity & Setup,What is the cost of setting up a Dubai free zone company for a UK agency founder in 2025,Dubai free zone company setup cost 2025,"Pricing varies wildly by free zone and package; founders need a realistic budget including visa, office, and PRO fees, not just the licence cost."
Dubai Entity & Setup,How do I register my existing UK agency trademark in the UAE after moving,register UK trademark in UAE,Agency founders with a brand name need to protect it in the UAE; the process is separate from company registration and has specific local requirements.
UAE Tax (Corporate + VAT),Does my Dubai free zone agency pay 0% corporate tax if I have UK clients,Dubai free zone corporate tax 0% UK clients,The 0% rate only applies to qualifying income; income from UK clients may be considered 'foreign' but the founder needs to understand the qualifying activity test.
UAE Tax (Corporate + VAT),What is the UAE corporate tax registration threshold for a small agency founder,UAE corporate tax registration threshold,"Agencies with turnover below AED 375,000 are exempt from registration, but many founders will exceed this; the threshold and filing timeline are commonly misunderstood."
UAE Tax (Corporate + VAT),Do I need to charge VAT on invoices to UK clients from my Dubai agency,UAE VAT on invoices to UK clients,"UAE VAT is territorial; services to UK clients are generally outside scope, but the founder must still file returns and understand the reverse charge mechanism."
UAE Tax (Corporate + VAT),How does transfer pricing apply to my Dubai agency if I charge management fees to my UK company,transfer pricing Dubai agency UK management fees,Founders who keep a UK entity alongside a Dubai one must price intercompany transactions at arm's length; this is a high-risk area for HMRC and UAE FTA scrutiny.
UAE Tax (Corporate + VAT),What is the UAE corporate tax rate on my agency profits if I exceed the small business relief threshold,UAE corporate tax rate small business relief,"The 9% rate applies above AED 375,000; founders need to know the exact bands and whether they qualify for the relief based on their revenue."
UAE Tax (Corporate + VAT),Does my Dubai free zone agency need to file a UAE corporate tax return if it makes a loss,UAE corporate tax return filing loss making,Even loss-making entities must file; this is a compliance burden many founders underestimate when setting up a dormant or early-stage agency.
UAE Tax (Corporate + VAT),How does the UAE economic substance requirement affect my Dubai agency with no local staff,economic substance requirement Dubai agency no staff,Free zone companies must demonstrate adequate physical presence and staff; a 'virtual' agency with no local employees may fail the substance test.
Cross-Border Operations,Can I keep my UK limited company open while running a Dubai agency without triggering double taxation,keep UK company open while running Dubai agency,Many founders want to keep the UK entity for existing contracts; this creates a cross-border structure with transfer pricing and permanent establishment risks.
Cross-Border Operations,How do I invoice a UK client from my Dubai agency without them needing to withhold UK tax,invoice UK client from Dubai without withholding tax,UK clients may be required to withhold 20% tax on payments to non-residents; the founder needs to know the treaty exemption and how to provide a declaration.
Cross-Border Operations,Does running my agency from Dubai create a UK permanent establishment for the UAE company,UK permanent establishment for UAE company,"If the founder retains UK clients and does work from the UK, HMRC may argue the UAE company has a UK PE, triggering UK corporation tax."
Cross-Border Operations,How do I handle VAT on cross-border services between my UK and Dubai agencies,VAT cross border services UK Dubai,The place of supply rules differ for B2B and B2C; founders need to know when UK VAT applies and when it is outside scope.
Cross-Border Operations,What is the double tax treaty position on agency profits between the UK and UAE,UK UAE double tax treaty agency profits,"The treaty allocates taxing rights; agency profits are generally taxable only in the UAE unless there is a UK permanent establishment, which is a common grey area."
Cross-Border Operations,Can I employ UK staff through my Dubai agency without setting up a UK payroll,employ UK staff through Dubai agency,"Employing UK residents from a Dubai entity creates UK employer obligations (PAYE, NIC, auto-enrolment); this is a frequent oversight for growing agencies."
Cross-Border Operations,How do I handle currency risk when invoicing UK clients in GBP from my AED bank account,currency risk GBP AED agency invoices,"Fluctuations can materially affect profitability; founders need practical strategies like multi-currency accounts or forward contracts, which are not standard advice."
Cross-Border Operations,What is the UK diverted profits tax risk for my Dubai agency if I have UK clients,diverted profits tax risk Dubai agency,HMRC can apply a 25% charge if it believes the Dubai entity is avoiding UK tax by 'diverting' profits; this is a real risk for agencies with a UK founder and UK clients.
"Personal Finance (Pensions, ISAs, Property)",Can I still contribute to my UK pension after moving to Dubai,contribute to UK pension from Dubai,"UK pension tax relief is only available to those with relevant UK earnings; founders in Dubai with no UK salary lose relief, but they can still contribute from UAE income."
"Personal Finance (Pensions, ISAs, Property)",What happens to my UK ISA if I become a non-UK resident in Dubai,UK ISA non resident Dubai,"ISAs lose their tax-free status for non-residents; interest and dividends become taxable in the UAE, but the UK wrapper remains, which is a nuance many miss."
"Personal Finance (Pensions, ISAs, Property)",Do I pay UK capital gains tax on my UK property if I sell it while living in Dubai,UK capital gains tax selling property from Dubai,Non-residents must report and pay CGT on UK property within 60 days of completion; this is a tight deadline that catches many founders out.
"Personal Finance (Pensions, ISAs, Property)",Can I transfer my UK pension to a QROPS in Dubai without a 25% tax charge,transfer UK pension to QROPS Dubai,The UAE has no QROPS-friendly scheme; most transfers to Dubai are unauthorised and trigger a 25% charge plus 15% overage; this is a high-risk area needing specialist advice.
"Personal Finance (Pensions, ISAs, Property)",How does the UK lifetime allowance affect my pension if I move to Dubai,lifetime allowance non resident Dubai,The lifetime allowance (now abolished but returning in 2026) applies regardless of residence; founders need to understand how it interacts with a potential QROPS transfer.
"Personal Finance (Pensions, ISAs, Property)",Do I pay UAE tax on my UK rental income if I live in Dubai,UAE tax on UK rental income,"The UAE does not tax foreign income for individuals, but the founder's UAE company may be taxed if the rental is held through the entity; this is a common confusion point."
"Personal Finance (Pensions, ISAs, Property)",What is the UK remittance basis and does it still apply to me after the 2025 non-dom reforms,remittance basis after 2025 non-dom reform,"The 2025 reforms abolish the remittance basis for new non-doms; founders moving to Dubai after April 2025 cannot use it, which changes their UK property and investment planning."
"Personal Finance (Pensions, ISAs, Property)",How do I report my worldwide income to the UAE as a new resident agency founder,report worldwide income UAE new resident,"The UAE has no personal income tax, but founders must still file a declaration; the FTA is increasingly asking for proof of foreign income sources."
Practical Relocation,What is the step-by-step process for getting a UAE residence visa as a UK agency founder,UAE residence visa process for UK founder,"The visa is tied to the company licence; founders need to know the medical, biometric, and Emirates ID steps, plus the timeline and cost."
Practical Relocation,Can I open a UAE bank account for my agency before I get my residence visa,open UAE bank account before residence visa,"Most banks require a visa and Emirates ID; a few allow pre-approval with a trade licence, but the process is opaque and varies by bank."
Practical Relocation,What documents do I need to attest for my UK degree to get a UAE residence visa,attest UK degree for UAE visa,Degree attestation from the UK Foreign Office and UAE embassy is mandatory for some visa categories; founders often discover this late in the process.
Practical Relocation,How do I get a UAE driving licence as a UK agency founder moving to Dubai,UAE driving licence for UK expat,UK licence holders can exchange directly for a UAE licence without a driving test; this is a simple but time-sensitive step that many delay.
Practical Relocation,What is the cost of living in Dubai for a single agency founder versus a family,cost of living Dubai agency founder family,"School fees, housing, and healthcare are the biggest costs; founders need a realistic budget that accounts for the 5% VAT on most goods and the lack of income tax."
Practical Relocation,How do I get health insurance in Dubai as a self-employed agency founder,health insurance Dubai self employed,"Health insurance is mandatory for the visa; founders need to choose between basic (Essential Benefits Plan) and comprehensive plans, with costs varying by age and coverage."
Practical Relocation,What is the process for moving my UK car to Dubai,import UK car to Dubai,"Import duties, modifications (e.g., speedometer), and registration requirements are complex; many founders sell and buy locally instead, but the tax implications differ."
Practical Relocation,How do I find a rental property in Dubai as a new arrival without a credit history,rent property Dubai no credit history,New arrivals often need to pay a full year's rent upfront; understanding the Ejari system and agency fees is essential for budgeting.
Agency-Specific Migration,How do I transfer my UK agency's client contracts to a Dubai entity without breaching terms,transfer client contracts to Dubai entity,"Most contracts have change of control or jurisdiction clauses; founders need to renegotiate or novate agreements, which is a legal step often overlooked."
Agency-Specific Migration,Can I keep my UK agency's Google Ads and Facebook Business accounts if I move to Dubai,keep Google Ads Facebook account moving to Dubai,"Ad accounts are tied to billing addresses and currencies; founders need to know if they can switch or must create new accounts, affecting campaign history and spend."
Agency-Specific Migration,How do I handle UK employee redundancies if I close my UK agency to move to Dubai,UK employee redundancies closing agency,"Redundancy pay, notice periods, and protective awards are governed by UK employment law; founders need a clear process to avoid tribunal claims."
Agency-Specific Migration,What happens to my UK agency's intellectual property if I move the business to Dubai,intellectual property moving agency to Dubai,"IP assignment, registration in the UAE, and licensing back to the UK entity are complex; founders risk losing protection if not properly documented."
Agency-Specific Migration,How do I migrate my agency's accounting software from UK GAAP to UAE IFRS,migrate accounting software UK GAAP to UAE IFRS,"UAE companies often follow IFRS; founders need to know if their software (e.g., Xero, QuickBooks) supports dual reporting and how to handle the transition."
Agency-Specific Migration,Can I still use my UK agency's Stripe and PayPal accounts from Dubai,use Stripe PayPal from Dubai,"Payment processors have country restrictions; founders may need to open new UAE merchant accounts, which affects settlement currencies and fees."
Agency-Specific Migration,How do I handle UK corporation tax on the final period before my agency becomes non-resident,UK corporation tax final period before moving,The company's accounting period may need to be shortened; founders must file a final return and pay any tax due before HMRC considers it 'dormant'.
