topic,category,primary_keyword,current_priority,current_tier,user_intent,sv,kd,competition,score,new_priority,action,used,id
Accountant For Payroll,Payroll and PAYE,accountant for payroll,8,cluster,transactional,590,4,0.27,7.773,9,already-published,True,300c8e0a-2dc5-4f5b-9c2e-ce8aa088d066
Self Employed Accountant Near Me,Sole Trader and Self Employment,self employed accountant near me,8,cluster,transactional,590,2,0.61,7.773,9,already-published,True,a3c7f8b8-5508-423f-a3f3-c206dede459d
Management Accounting Service,Bookkeeping and Compliance,management accounting service,8,cluster,transactional,590,4,0.11,7.773,9,already-published,True,95bc7009-313b-4850-bf1d-e2b8f5fd6f85
HR Accountant,Bookkeeping and Compliance,hr accountant,8,cluster,transactional,480,4,0.08,7.011,9,already-published,True,26801568-3008-4d27-8976-7f5386855b5a
Hospitality Accountant,Bookkeeping and Compliance,hospitality accountant,8,cluster,transactional,590,3,0.11,7.773,9,already-published,True,f05551d8-6ed5-4d0e-9bbd-8270cd7a39dd
Accountant Fees Small Business (2025/26),Bookkeeping and Compliance,accountant fees small business,8,cluster,informational,480,5,0.49,4.382,9,already-published,True,2082b728-c631-4c51-869b-74018426f7e2
Agriculture Accountant,Bookkeeping and Compliance,agriculture accountant,8,cluster,transactional,480,5,0.15,7.011,9,already-published,True,49399b5d-3249-4509-a425-a73783fa7dfb
Accountant Cost Limited Company (2025/26),Limited Company Tax,accountant cost limited company,8,cluster,informational,590,3,0.5,4.858,9,already-published,True,83bd3c16-ecf4-4664-ac32-70c49b7b7260
Accounting Service Charges (2025/26),Bookkeeping and Compliance,accounting service charges,8,cluster,informational,480,3,0.13,4.382,9,already-published,True,b226b110-e2d9-4bbe-8124-02d1c81c5d98
Accounting Bookkeeping Service,Bookkeeping and Compliance,accounting bookkeeping service,8,cluster,transactional,590,8,0.23,4.858,9,already-published,True,0f6aa534-d464-46be-b29e-7514f364c062
Accounting Fee (2025/26),Bookkeeping and Compliance,accounting fee,8,cluster,informational,590,4,0.44,4.858,9,already-published,True,e8b54e97-5cb4-4e7e-b913-227ec7d12554
Accounts And Payroll,Payroll and PAYE,accounts and payroll,8,cluster,transactional,590,5,0.27,7.773,9,already-published,True,9c6a7960-5586-45e8-9447-ca025303c9b0
Limited Company Accounts Cost (2025/26),Limited Company Tax,limited company accounts cost,8,cluster,informational,590,4,0.5,4.858,9,already-published,True,8167bf96-1bb3-4892-b95a-41c1ac952458
Self Assessment Tax Return Accountant Near Me,Sole Trader and Self Employment,self assessment tax return accountant near me,8,cluster,transactional,480,7,0.75,5.008,9,already-published,True,0787c767-8021-449a-93e2-38ad0c7c3275
Sole Trader Accountant,Sole Trader and Self Employment,sole trader accountant,9,pillar,transactional,480,11,0.63,3.187,8,already-published,True,bb8b2e12-a7da-4ae0-bdf1-cb9af5ce4b1a
Accountant For Small Businesses Near Me,Bookkeeping and Compliance,accountant for small businesses near me,8,cluster,transactional,590,12,0.65,3.239,8,already-published,True,69d733d4-fbff-47f4-adf3-ca2e8255d032
Difference Between Accountants And Bookkeepers,Bookkeeping and Compliance,difference between accountants and bookkeepers,8,cluster,informational,590,8,0.09,3.036,8,already-published,True,c66c45bb-896e-4264-9fc6-e2a8c3c41266
Accounts And Bookkeeping Services,Bookkeeping and Compliance,accounts and bookkeeping services,8,cluster,transactional,590,10,0.23,3.886,8,already-published,True,a3a0541b-1ed3-45a7-a533-f7f807a6e520
Freeagent Accountant,Bookkeeping and Compliance,freeagent accountant,5,cluster,transactional,590,24,0.28,1.619,7,already-published,True,b84c0e4f-863e-4adb-baa6-793cd3fe4046
Sole Trader Accountant For A Business That Uses Cash Accounting,Sole Trader and Self Employment,sole trader accountant,7,cluster,informational,480,11,0.63,1.992,7,already-published,True,b938e172-cbcd-4bd3-9833-1b04a3ca0b41
Online Accountant UK,Bookkeeping and Compliance,online accountant uk,8,pillar,transactional,590,35,0.45,1.11,7,already-published,True,380772bc-ac10-4ee8-8993-8de6bdb10717
Online Accountant UK For A Business That Uses Paper Receipts,Bookkeeping and Compliance,online accountant uk,7,cluster,informational,590,35,0.45,0.694,6,already-published,True,fcbd1595-b7f7-4da7-85ce-2bdbaa069c44
How To Calculate Corporation Tax When My Company Has Both Trading And Investment Income,Corporation Tax,corporation tax trading and investment income,6,supporting,informational,,,,,,already-published,True,cc2929fc-fd2a-4b02-a61f-a8c816ec2ddc
CGT Accountant UK,Exit and Capital Gains,cgt accountant uk,6,cluster,transactional,,,,,,already-published,True,e274622e-d995-46d8-9f83-90a5878f1489
Xero Accountant UK,Bookkeeping and Compliance,xero accountant uk,6,cluster,transactional,,,,,,already-published,True,c9e43e12-136f-4332-a0b6-a87db9c5a649
Accountant For Property Investor UK,Limited Company Tax,accountant for property investor uk,6,cluster,transactional,,,,,,already-published,True,da461132-b482-4a3b-9993-f855c3beee80
CIS Accountant UK,Payroll and PAYE,cis accountant uk,5,cluster,transactional,,,,,,already-published,True,0275652c-faab-48dc-b31c-6f7dae90f04d
Quickbooks Accountant UK,Bookkeeping and Compliance,quickbooks accountant uk,5,cluster,transactional,,,,,,already-published,True,cd48fcf7-4eea-49dc-bf85-32e376594610
Trust Accountant UK,Exit and Capital Gains,trust accountant uk,4,supporting,transactional,,,,,,already-published,True,c2d3ec1a-ee4c-4d92-8a62-1da8150b44aa
Small Business Accountant,Bookkeeping and Compliance,small business accountant,10,pillar,transactional,,,,,,already-published,True,c67ba3fb-11b7-4d0e-9329-f4e951fa3c4a
Contractor Accountant UK,Limited Company Tax,contractor accountant uk,9,pillar,transactional,,,,,,already-published,True,ad4f203e-7d8d-4682-bfa6-e6f0c835eb4b
R&D Tax Credit Specialist,R&D Tax Credits,r&d tax credit specialist,9,pillar,transactional,,,,,,already-published,True,7b7040f6-1160-4510-8c26-ccde0377ed2b
When To Register For VAT,VAT and Making Tax Digital,when to register for vat,9,pillar,informational,,,,,,already-published,True,e1ed6cb3-fc41-407e-ac0e-646c9b95d61f
How Does Corporation Tax Work,Corporation Tax,how does corporation tax work,9,pillar,informational,,,,,,already-published,True,191c928d-c014-481d-b692-721bfef4245c
How To Register A Limited Company UK,Incorporation and Structure,how to register a limited company uk,9,pillar,informational,,,,,,already-published,True,260b5344-a7f7-412c-b529-b8b2df5cf83b
Making Tax Digital Accountant,VAT and Making Tax Digital,making tax digital accountant,8,cluster,transactional,,,,,,already-published,True,9ded6918-a36a-4376-bf80-e66c8a3d051c
VAT Accountant,VAT and Making Tax Digital,vat accountant,8,pillar,transactional,,,,,,already-published,True,5af903c2-c022-4858-9a86-8f81979c4b48
Self Assessment Accountant,Sole Trader and Self Employment,self assessment accountant,7,cluster,transactional,,,,,,already-published,True,6fe68958-a52f-4665-8f79-1dfa02039ae5
Payroll Services Small Business,Payroll and PAYE,payroll services small business,7,cluster,transactional,,,,,,already-published,True,f040f26c-4d9f-4453-aad1-16481c5f9142
Corporation Tax Accountant,Corporation Tax,corporation tax accountant,7,cluster,transactional,,,,,,already-published,True,6ca0d447-bca6-4894-a0f7-ea03034f612a
R&D Tax Claim Software Companies,R&D Tax Credits,r&d tax claim software companies,7,cluster,transactional,,,,,,already-published,True,c17fba02-db6b-4acc-910a-f7f8c235f46e
BADR Accountant,Exit and Capital Gains,badr accountant,7,cluster,transactional,,,,,,already-published,True,e53759ce-1f20-4670-a81f-1a8a321ce3d0
Accountant For Startup,Incorporation and Structure,accountant for startup,7,cluster,transactional,,,,,,already-published,True,c42c4164-5b2c-4b61-aceb-64089e0ae145
Freelancer Accountant UK,Sole Trader and Self Employment,freelancer accountant uk,7,cluster,transactional,,,,,,already-published,True,ce11a5d4-fffd-4174-bcdd-a0c85af4035f
Accountant For Ecommerce Business,VAT and Making Tax Digital,accountant for ecommerce business,7,cluster,transactional,,,,,,already-published,True,917f7346-6428-4178-9ca1-86847d74787e
Company Formation Accountant,Incorporation and Structure,company formation accountant,7,cluster,transactional,,,,,,already-published,True,e8cacee4-f348-48e3-8f47-9fc561283381
IR35 Contract Review Service,Limited Company Tax,ir35 contract review service,7,cluster,transactional,,,,,,already-published,True,07729f6f-a8a3-4041-9cd3-07121948df71
Can I Claim Mileage Limited Company Director,Limited Company Tax,can i claim mileage limited company director,6,supporting,informational,,,,,,already-published,True,cf3a42f3-cf92-45d8-8a10-c214c03edc86
