query,impressions,clicks,ctr,position,source_niche,overlaps_existing_seed,fetched_at
uk capital gains tax rates residential property 2026,20,0,0.0,5.85,property,False,2026-04-16T18:55:17.700105
capital gains tax on property,16,0,0.0,54.1875,property,False,2026-04-16T18:55:17.700105
mtd for property income,14,0,0.0,63.357142857142854,property,False,2026-04-16T18:55:17.700105
uk capital gains tax rates on residential property 2026,12,0,0.0,4.0,property,False,2026-04-16T18:55:17.700105
uk cgt rates residential property 2026,12,0,0.0,5.083333333333333,property,False,2026-04-16T18:55:17.700105
uk capital gains tax residential property rates 2026,8,0,0.0,4.125,property,False,2026-04-16T18:55:17.700105
capital gains tax and property,8,0,0.0,49.375,property,False,2026-04-16T18:55:17.700105
capital gains tax on property uk,7,0,0.0,45.57142857142857,property,False,2026-04-16T18:55:17.700105
capital gains tax rate on real estate investment property,7,0,0.0,57.142857142857146,property,False,2026-04-16T18:55:17.700105
uk cgt rates on residential property 2026,6,0,0.0,4.5,property,False,2026-04-16T18:55:17.700105
can i claim home insurance on my taxes,6,0,0.0,82.0,property,False,2026-04-16T18:55:17.700105
uk cgt rates 2026 residential property,5,0,0.0,4.6,property,False,2026-04-16T18:55:17.700105
uk capital gains tax rates 2026 residential property,5,0,0.0,5.8,property,False,2026-04-16T18:55:17.700105
uk residential property capital gains tax rates 2025 2026 18% 24%,5,0,0.0,10.2,property,False,2026-04-16T18:55:17.700105
hmrc cgt reporting requirements 2026,5,0,0.0,29.6,property,False,2026-04-16T18:55:17.700105
property tax advisor,5,0,0.0,54.8,property,False,2026-04-16T18:55:17.700105
accountant for property,5,0,0.0,63.0,property,False,2026-04-16T18:55:17.700105
corporation tax and dividend tax,5,0,0.0,70.0,property,False,2026-04-16T18:55:17.700105
uk cgt residential property reporting deadlines payment 2025 2026,4,0,0.0,2.5,property,False,2026-04-16T18:55:17.700105
uk capital gains tax on second home sale 2026,4,0,0.0,3.0,property,False,2026-04-16T18:55:17.700105
uk capital gains tax on selling main home 2026,4,0,0.0,12.5,property,False,2026-04-16T18:55:17.700105
capital gains tax on sale of residential property uk,4,0,0.0,51.25,property,False,2026-04-16T18:55:17.700105
capital gains tax when selling investment property,4,0,0.0,51.75,property,False,2026-04-16T18:55:17.700105
accountant investment property,4,0,0.0,96.5,property,False,2026-04-16T18:55:17.700105
hmrc cgt reporting deadlines 2026,3,0,0.0,2.0,property,False,2026-04-16T18:55:17.700105
uk capital gains tax on primary residence sale 2026,3,0,0.0,2.666666666666667,property,False,2026-04-16T18:55:17.700105
uk capital gains tax on second home sale 2026 rates,3,0,0.0,2.666666666666667,property,False,2026-04-16T18:55:17.700105
uk capital gains tax on residential property 2026 rates,3,0,0.0,5.666666666666667,property,False,2026-04-16T18:55:17.700105
rental accounts bristol,3,0,0.0,26.666666666666668,property,False,2026-04-16T18:55:17.700105
capital vs revenue expenditure property,3,0,0.0,28.333333333333332,property,False,2026-04-16T18:55:17.700105
mortgage interest tax deduction uk,3,0,0.0,44.333333333333336,property,False,2026-04-16T18:55:17.700105
investment property and capital gains tax,3,0,0.0,53.0,property,False,2026-04-16T18:55:17.700105
mortgage interest tax credit calculator,3,0,0.0,54.0,property,False,2026-04-16T18:55:17.700105
capital gains tax on investment property,3,0,0.0,59.333333333333336,property,False,2026-04-16T18:55:17.700105
tax on holiday rental,3,0,0.0,64.66666666666666,property,False,2026-04-16T18:55:17.700105
capital gains tax advice bristol,3,0,0.0,66.66666666666667,property,False,2026-04-16T18:55:17.700105
tax advice property,3,0,0.0,69.66666666666667,property,False,2026-04-16T18:55:17.700105
property holding company structure,3,0,0.0,80.66666666666667,property,False,2026-04-16T18:55:17.700105
uk hmrc cgt on uk residential property reporting payment deadlines 2025 2026,2,0,0.0,2.0,property,False,2026-04-16T18:55:17.700105
property tax partners,2,0,0.0,2.5,property,False,2026-04-16T18:55:17.700105
uk capital gains tax on residential property 2026,2,0,0.0,2.5,property,False,2026-04-16T18:55:17.700105
lettings relief,2,0,0.0,3.0,property,False,2026-04-16T18:55:17.700105
uk hmrc cgt on uk residential property reporting deadlines payment 2025 2026,2,0,0.0,3.0,property,False,2026-04-16T18:55:17.700105
uk residential property cgt rates 2026,2,0,0.0,3.0,property,False,2026-04-16T18:55:17.700105
