keyword,intent,category,content_tier,priority,notes
"small business accountant",transactional,Bookkeeping and Compliance,pillar,10,Core commercial pillar for the whole site
"limited company accountant",transactional,Limited Company Tax,pillar,10,Core commercial pillar Ltd directors
"contractor accountant uk",transactional,Limited Company Tax,pillar,9,High-value lead segment via IR35 angle
"sole trader accountant",transactional,Sole Trader and Self Employment,pillar,9,Entry-level lead segment
"vat accountant",transactional,VAT and Making Tax Digital,pillar,8,Service-led VAT registration / returns
"r&d tax credit specialist",transactional,R&D Tax Credits,pillar,9,High-margin specialist service
"online accountant uk",transactional,Bookkeeping and Compliance,pillar,8,Comparison query for tech-led firms
"fixed fee accountant uk",transactional,Bookkeeping and Compliance,cluster,7,Pricing-led intent
"accountant for startup",transactional,Incorporation and Structure,cluster,7,Founder-stage segment
"making tax digital accountant",transactional,VAT and Making Tax Digital,cluster,8,Driven by MTD ITSA April 2026 rollout
"freelancer accountant uk",transactional,Sole Trader and Self Employment,cluster,7,Adjacent to contractor segment
"accountant for ecommerce business",transactional,VAT and Making Tax Digital,cluster,7,Multi-jurisdiction VAT angle
"accountant for property investor uk",transactional,Limited Company Tax,cluster,6,Cross-sell to Property site
"payroll services small business",transactional,Payroll and PAYE,cluster,7,Recurring revenue service
"company formation accountant",transactional,Incorporation and Structure,cluster,7,Top-of-funnel for new Ltds
"self assessment accountant",transactional,Sole Trader and Self Employment,cluster,7,Seasonal Jan-Feb spike
"corporation tax accountant",transactional,Corporation Tax,cluster,7,Mid-funnel Ltd directors
"xero accountant uk",transactional,Bookkeeping and Compliance,cluster,6,Software-led specialism
"quickbooks accountant uk",transactional,Bookkeeping and Compliance,cluster,5,Software-led adjacency
"freeagent accountant",transactional,Bookkeeping and Compliance,cluster,5,Contractor-focused software
"r&d tax claim software companies",transactional,R&D Tax Credits,cluster,7,Specific niche, high value
"vat registration help",transactional,VAT and Making Tax Digital,cluster,6,Threshold-driven service
"director payroll service",transactional,Director Pay and Dividends,cluster,6,Annual scheme for Ltd directors
"badr accountant",transactional,Exit and Capital Gains,cluster,7,High-value exit planning
"cgt accountant uk",transactional,Exit and Capital Gains,cluster,6,Asset disposal advice
"ir35 contract review service",transactional,Limited Company Tax,cluster,7,One-off compliance service
"cis accountant uk",transactional,Payroll and PAYE,cluster,5,Construction sub-segment
"mtd software for sole traders",transactional,VAT and Making Tax Digital,cluster,7,MTD ITSA driven
"company secretarial services uk",transactional,Bookkeeping and Compliance,supporting,4,Compliance add-on
"trust accountant uk",transactional,Exit and Capital Gains,supporting,4,Niche IHT planning
"limited company vs sole trader",informational,Incorporation and Structure,pillar,10,Top-of-funnel decision pillar
