kind,slug,current_metaTitle,current_len,suggested_metaTitle,suggested_len,why,competitor_count
blog,13-week-cash-flow-forecast-agency-insolvency,13-Week Cash Flow Forecast for Agency Insolvency Prevention,59,13-Week Cash Flow Forecast: Stop Agency Insolvency,50,"It front-loads the keyword, cuts filler, and uses a direct, action-driven promise that is more urgent and click-worthy.",0
blog,accounting-software-marketing-agencies,Best Accounting Software for Marketing Agencies | UK Guide,58,Best Accounting Software for UK Marketing Agencies 2026,55,Adds a specific year to boost urgency and aligns with top competitor patterns for higher click-through rates.,5
blog,agency-cash-flow-management,Agency Cash Flow: Why Profitable Agencies Run Out of Money,58,Agency Cash Flow: Why Profitable Firms Run Out of Money,55,"Replaces vague ""agencies"" with specific ""firms"" and adds ""Money"" for urgency, matching competitor patterns like ""Why Creative Agencies Struggle with Cashflow.""",5
blog,agency-financial-kpis,Agency KPIs Finance: 8 Numbers Every Founder Must Track,55,8 Financial KPIs Every Agency Founder Must Track,48,"This version is more direct and action-oriented, front-loading the primary keyword while matching the exact character limit for optimal SERP display.",0
blog,agency-gross-profit-margin-uk-fix,Gross profit margin agency UK: why it's lower and how,53,Agency gross profit margin: why yours is lower & fix,52,"It's punchier, front-loads the keyword, and adds a clear fix promise without extra words.",0
blog,agency-profit-margins-benchmarks,Normal Agency Profit Margins: UK Benchmarks for 2025,52,Agency Profit Margins: UK Benchmarks for 2025,45,"This version is more direct and front-loads the primary keyword ""Agency Profit Margins"" while staying within the character limit and clearly stating the year for relevance.",0
blog,alphabet-share-structure-agency-founder,Alphabet share structure for agency founders: how it works,58,Alphabet shares for agency founders: how they work,50,"It front-loads the core keyword more tightly and uses a natural, direct phrasing that feels more authoritative and specific to your audience.",0
blog,alphabet-shares-agency-founders,"Alphabet shares for agency founders: structure, tax",51,Alphabet shares for agency founders: tax & structure (52 chars),63,"Adds ""tax"" and ""&"" for a tighter, more benefit-driven hook that signals practical value.",0
blog,annual-investment-allowance-agency-equipment-2025-26,Annual Investment Allowance for Agency Equipment in 2025/26,59,AIA for Agency Equipment: 2025/26 Guide,39,"Shortens the title while front-loading the acronym ""AIA"" (the primary keyword) and adds ""Guide"" for clarity and click-worthiness.",0
blog,automate-mtd-itsa-updates-agency,Automate MTD ITSA updates agency: DIY quarterly reporting,57,Automate MTD ITSA quarterly updates for your agency,51,"It's more direct and action-oriented, dropping the redundant ""DIY"" and ""without an accountant"" to stay within the character limit while keeping the core promise.",0
blog,average-agency-overhead-rate-uk,Average Agency Overhead Rate UK: Calculate & Benchmark Yours,60,Agency Overhead Rate UK: Calculate & Benchmark Yours,52,Front-loads the core keyword more aggressively while staying within the character limit and promising actionable value.,0
blog,average-agency-revenue-per-employee-uk,Average agency revenue per employee UK: benchmark,49,Agency revenue per employee: UK benchmark & tips,48,"Adds ""& tips"" to signal actionable value while staying within the character limit and front-loading the keyword.",0
