keyword,source,sv,kd,intent,competition,cpc,score,suggested_priority
management accounting -references,seranking,2400,0,I,0.1,0.71,9.798,9
personal accountant,seranking,590,4,"L, C",0.69,2.3,7.287,9
management services accounting,seranking,590,4,"L, C",0.11,3.22,7.287,9
hospitality accountants,seranking,590,3,"L, C",0.11,7.35,7.287,9
payroll accountant,seranking,480,3,"L, C",0.35,4.11,6.573,9
accounting for consultants,seranking,480,3,"L, C",0.25,3.16,6.573,9
agriculture accountants,seranking,480,5,"L, C",0.15,1.28,6.573,9
cost of accountants for small business,seranking,480,4,"L, C",0.49,2.51,6.573,9
accountant for self employed near me,seranking,590,6,"L, C",0.61,2.55,6.072,9
accountants in portsmouth,seranking,590,6,"L, C",0.46,3.17,6.072,9
accountants portsmouth,seranking,590,6,"L, C",0.46,3.17,6.072,9
accountants stoke on trent,seranking,480,6,"L, C",0.6,2.47,5.477,9
accountants in stoke on trent,seranking,480,6,"L, C",0.6,2.47,5.477,9
hr accountants,seranking,480,6,"L, C",0.08,1.0,5.477,9
accountant stoke on trent,seranking,480,6,"L, C",0.6,2.47,5.477,9
accountants in stoke,seranking,480,6,"L, C",0.6,2.47,5.477,9
accountant trainee jobs london,seranking,500,6,L,0.27,0.23,5.217,9
accountant basingstoke,seranking,590,7,"L, C",0.48,2.72,5.205,9
accountant in basingstoke,seranking,590,7,"L, C",0.48,2.72,5.205,9
accountants in maidstone,seranking,590,7,"L, C",0.54,1.73,5.205,9
management accounting services,seranking,590,7,"L, C",0.11,3.22,5.205,9
accountant surrey,seranking,590,7,"L, C",0.17,2.9,5.205,9
accountants basingstoke,seranking,590,7,"L, C",0.48,2.72,5.205,9
accountants in basingstoke,seranking,590,7,"L, C",0.48,2.72,5.205,9
sale accounting practice,seranking,590,5,I,0.37,1.14,4.858,9
accounting fees,seranking,590,4,I,0.44,1.72,4.858,9
limited company accountant cost,seranking,590,4,I,0.5,3.1,4.858,9
ltd company accountant cost,seranking,590,4,I,0.5,3.1,4.858,9
accountants fees,seranking,590,4,I,0.44,1.72,4.858,9
accountant fee,seranking,590,4,I,0.44,1.72,4.858,9
accountant costs for limited company,seranking,590,4,I,0.5,3.1,4.858,9
accounting practice for sales,seranking,590,5,I,0.37,1.14,4.858,9
accountant cost for ltd company,seranking,590,4,I,0.5,3.1,4.858,9
limited company accountancy costs,seranking,590,4,I,0.5,3.1,4.858,9
accountancy payroll,seranking,590,4,I,0.27,5.1,4.858,9
accounting practices for sale,seranking,590,5,I,0.37,1.14,4.858,9
accountant cost for limited company,seranking,590,4,I,0.5,3.1,4.858,9
work from home accounting positions,seranking,590,7,L,0.27,0.08,4.858,9
accountancy costs for ltd company,seranking,590,4,I,0.5,3.1,4.858,9
accountant work from home jobs,seranking,590,7,L,0.27,0.08,4.858,9
accounting practice sale,seranking,590,5,I,0.37,1.14,4.858,9
accountant for limited company cost,seranking,590,4,I,0.5,3.1,4.858,9
cost of accountant for limited company,seranking,590,4,I,0.5,3.1,4.858,9
accounting practices sale,seranking,590,5,I,0.37,1.14,4.858,9
accountant job from home,seranking,590,7,L,0.27,0.08,4.858,9
accounting job from home,seranking,590,7,L,0.27,0.08,4.858,9
accounting of payroll,seranking,590,5,I,0.27,5.1,4.858,9
fee accounting,seranking,590,5,I,0.44,1.72,4.858,9
accountants for hospitality,seranking,590,4,I,0.11,7.35,4.858,9
accountants guildford,seranking,480,7,"L, C",0.45,2.99,4.695,9
accountants in mansfield,seranking,480,7,"L, C",0.53,2.33,4.695,9
accountant bury,seranking,480,7,"L, C",0.49,1.74,4.695,9
payroll accountants,seranking,480,7,"L, C",0.35,4.11,4.695,9
accountant in bromley,seranking,480,7,"L, C",0.37,2.54,4.695,9
accountant for sole trader,seranking,480,7,"L, C",0.63,5.54,4.695,9
accountants for sole trader,seranking,480,7,"L, C",0.63,5.54,4.695,9
accountants in eastbourne,seranking,480,7,"L, C",0.44,1.76,4.695,9
accountants bromley,seranking,480,7,"L, C",0.37,2.54,4.695,9
accountant guildford,seranking,480,7,"L, C",0.45,2.99,4.695,9
accountant in bury,seranking,480,7,"L, C",0.49,1.74,4.695,9
accountants mansfield,seranking,480,7,"L, C",0.53,2.33,4.695,9
accountant maidstone,seranking,590,8,"L, C",0.54,1.73,4.554,9
accountants in glasgow,seranking,590,8,"L, C",0.39,3.05,4.554,9
accounting and bookkeeping service,seranking,590,8,"L, C",0.23,5.91,4.554,9
accountants romford,seranking,590,8,"L, C",0.33,2.77,4.554,9
accounting and payroll,seranking,590,8,"L, C",0.27,5.1,4.554,9
accountant wolverhampton,seranking,590,8,"L, C",0.46,1.86,4.554,9
accounting in surrey,seranking,590,8,"L, C",0.17,2.9,4.554,9
small business accountant fees,seranking,480,5,I,0.49,2.51,4.382,9
accountant cost for small business,seranking,480,5,I,0.49,2.51,4.382,9
edmund carr accountants chelmsford,seranking,480,7,"L, N",0.04,1.86,4.382,9
accounting a level past paper,seranking,480,5,I,0.01,0.0,4.382,9
accounting and healthcare,seranking,480,5,I,0.15,1.58,4.382,9
ltd company accountants fees,seranking,480,3,I,0.39,1.93,4.382,9
