Title,Slug,Category,Category Slug,Target Keyword,Estimated Vol,Difficulty,Intent,Priority,Notes
"Accounting Software for Marketing Agencies: What Actually Works","accounting-software-marketing-agencies",Agency Finance Essentials,agency-finance-essentials,"accounting software for marketing agencies",90,12,I,P1,Highest vol informational keyword in dataset. Compare Xero/QuickBooks/FreeAgent for agency use cases. Funnel to lead capture.
"How to Read Your Agency P&L (And What the Numbers Mean)","how-to-read-agency-pl",Agency Finance Essentials,agency-finance-essentials,"agency finance basics",—,—,I,P1,Foundational content for new founders. High share potential.
"Profit Margins in Agencies: What's Normal and What's Not","agency-profit-margins-benchmarks",Agency Finance Essentials,agency-finance-essentials,"agency profit margins",—,—,I,P1,Data-driven post with industry benchmarks. Positions us as expert.
"Cash Flow in Agencies: Why Profitable Agencies Still Run Out of Money","agency-cash-flow-management",Agency Finance Essentials,agency-finance-essentials,"agency cash flow",—,—,I,P1,Common pain point. Practical guide.
"What Your Accountant Needs From You Every Month","what-to-send-accountant-monthly",Agency Finance Essentials,agency-finance-essentials,"agency bookkeeping",—,—,I,P2,Practical operations post. Good internal link to services.
"Key Financial KPIs Every Agency Founder Should Track","agency-financial-kpis",Agency Finance Essentials,agency-finance-essentials,"agency KPIs finance",—,—,I,P2,Management accounts framing. Links to management accounts service page.
"Chart of Accounts for an Agency: A Practical Setup Guide","chart-of-accounts-agency",Agency Finance Essentials,agency-finance-essentials,"chart of accounts agency",—,—,I,P3,Niche but useful for early-stage founders setting up Xero.
"Bookkeeping Basics for Agency Founders Who Hate Admin","bookkeeping-basics-agency-founders",Agency Finance Essentials,agency-finance-essentials,"bookkeeping for agencies",—,—,I,P3,Light tone. Good intro post for new agency founders.
"VAT for Marketing Agencies: Registration, Schemes and What to Charge Clients","vat-for-marketing-agencies",Tax & Compliance,tax-and-compliance,"VAT for agencies",—,—,I,P1,VAT is a common early-stage agency question. Clear search intent.
"Corporation Tax for Agency Founders: The Complete 2025/26 Guide","corporation-tax-agency-founders",Tax & Compliance,tax-and-compliance,"corporation tax agency",—,—,I,P1,Annual deadline driver. Comprehensive guide.
"Flat Rate VAT for Agencies: Is It Still Worth It?","flat-rate-vat-agencies",Tax & Compliance,tax-and-compliance,"flat rate VAT agency",—,—,I,P1,Highly practical. Most agency founders have heard of it but don't know if it applies.
"HMRC Deadlines Every Agency Founder Should Know","hmrc-deadlines-agency-founders",Tax & Compliance,tax-and-compliance,"HMRC deadlines agency",—,—,I,P2,Evergreen reference post. Updated annually.
"P11D and Benefits in Kind for Agency Directors","p11d-benefits-kind-agency-directors",Tax & Compliance,tax-and-compliance,"P11D agency director",—,—,I,P2,Practical compliance guide.
"Setting Up PAYE for Your First Agency Hire","setting-up-paye-first-agency-hire",Tax & Compliance,tax-and-compliance,"PAYE agency first employee",—,—,I,P2,Milestone post. Links to payroll service page.
